tax_id	GeneID	GO_ID	Evidence	Qualifier	GO_termPubMed	Category
36329	810165	GO:0020033	TAS	acts_upstream_of_or_within	antigenic variation	10430943	Process
36329	810171	GO:0005515	IPI	enables	protein binding	34718641	Function
36329	810171	GO:0020030	IDA	located_in	infected host cell surface knob	34718641	Component
36329	810171	GO:0020036	IDA	located_in	Maurer's cleft	15671043	Component
36329	810171	GO:0044228	IDA	located_in	host cell surface	34718641	Component
36329	810175	GO:0044164	IDA	located_in	host cell cytosol	25106850	Component
36329	810176	GO:0005515	IPI	enables	protein binding	31476617	Function
36329	810176	GO:0020036	RCA	located_in	Maurer's cleft	31631203	Component
36329	810176	GO:0044164	IDA	located_in	host cell cytosol	27795395	Component
36329	810177	GO:0020005	IDA	located_in	symbiont-containing vacuole membrane	12686607	Component
36329	810178	GO:0044164	IDA	located_in	host cell cytosol	27795395	Component
36329	810179	GO:0043657	RCA	located_in	host cell	16507167	Component
36329	810180	GO:0043657	RCA	located_in	host cell	16507167	Component
36329	810181	GO:0005515	IPI	enables	protein binding	30576479|32184257	Function
36329	810181	GO:0020036	IDA	located_in	Maurer's cleft	15671043|30576479	Component
36329	810181	GO:0044228	IDA	located_in	host cell surface	29162636	Component
36329	810182	GO:0043657	RCA	located_in	host cell	16507167	Component
36329	810183	GO:0005515	IPI	enables	protein binding	29487358|32184257	Function
36329	810183	GO:0020036	IDA	located_in	Maurer's cleft	32184257	Component
36329	810183	GO:0044164	IMP	located_in	host cell cytosol	29487358	Component
36329	810184	GO:0009986	IDA	located_in	cell surface	15383306	Component
36329	810184	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810187	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810188	GO:0016020	IEA	located_in	membrane	19435743	Component
36329	810188	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810190	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810192	GO:0016020	ISS	located_in	membrane	-	Component
36329	810192	GO:0032991	ISS	part_of	protein-containing complex	-	Component
36329	810193	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810193	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810194	GO:0004596	ISS	enables	peptide alpha-N-acetyltransferase activity	-	Function
36329	810194	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810194	GO:0006474	ISS	acts_upstream_of_or_within	N-terminal protein amino acid acetylation	-	Process
36329	810194	GO:0031415	ISS	part_of	NatA complex	-	Component
36329	810195	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810196	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810197	GO:0005515	IPI	enables	protein binding	26791088|34324609	Function
36329	810197	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810197	GO:0070258	IDA	located_in	inner membrane pellicle complex	20037583	Component
36329	810199	GO:0000398	ISS	acts_upstream_of_or_within	mRNA splicing, via spliceosome	-	Process
36329	810199	GO:0003723	ISS	enables	RNA binding	-	Function
36329	810199	GO:0046540	ISS	part_of	U4/U6 x U5 tri-snRNP complex	-	Component
36329	810201	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810203	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810204	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810204	GO:0016567	ISS	acts_upstream_of_or_within	protein ubiquitination	-	Process
36329	810205	GO:0003729	HDA	enables	mRNA binding	27381095	Function
36329	810205	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810206	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810209	GO:0005471	IDA	enables	ATP:ADP antiporter activity	32574727	Function
36329	810209	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810209	GO:0005743	ISS	located_in	mitochondrial inner membrane	-	Component
36329	810210	GO:0005739	ISO	located_in	mitochondrion	34494883	Component
36329	810211	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810211	GO:0020011	IDA	located_in	apicoplast	25583729	Component
36329	810212	GO:0005730	ISS	located_in	nucleolus	-	Component
36329	810212	GO:0019843	ISS	enables	rRNA binding	-	Function
36329	810212	GO:0032040	ISS	part_of	small-subunit processome	-	Component
36329	810212	GO:0042274	ISS	acts_upstream_of_or_within	ribosomal small subunit biogenesis	-	Process
36329	810214	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810215	GO:0000184	ISS	acts_upstream_of_or_within	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	-	Process
36329	810216	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810218	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810220	GO:0030014	ISO	part_of	CCR4-NOT complex	30703164	Component
36329	810221	GO:0003677	IDA	enables	DNA binding	22167473	Function
36329	810221	GO:0003723	HDA	enables	RNA binding	33906926	Function
36329	810221	GO:0003723	IDA	enables	RNA binding	22167473	Function
36329	810221	GO:0003729	HDA	enables	mRNA binding	27381095	Function
36329	810221	GO:0005515	IPI	enables	protein binding	22006844	Function
36329	810221	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810221	GO:0005634	IDA	located_in	nucleus	22006844	Component
36329	810221	GO:0020020	HDA	located_in	food vacuole	21136929	Component
36329	810221	GO:0036396	HDA	part_of	RNA N6-methyladenosine methyltransferase complex	31384004	Component
36329	810221	GO:1903561	HDA	located_in	extracellular vesicle	28944300	Component
36329	810224	GO:0016491	ISO	enables	oxidoreductase activity	30596727	Function
36329	810225	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810226	GO:0003723	HDA	enables	RNA binding	33906926	Function
36329	810226	GO:0003723	ISO	enables	RNA binding	34604117	Function
36329	810226	GO:0003729	HDA	enables	mRNA binding	27381095	Function
36329	810226	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810226	GO:0005634	IDA	located_in	nucleus	33340385|35273922	Component
36329	810226	GO:0005737	IDA	located_in	cytoplasm	33340385|35273922	Component
36329	810226	GO:0020020	HDA	located_in	food vacuole	21136929	Component
36329	810226	GO:0042162	IDA	enables	telomeric DNA binding	33340385	Function
36329	810226	GO:0051880	IDA	enables	G-quadruplex DNA binding	33340385|35273922	Function
36329	810226	GO:0098505	IDA	enables	G-rich strand telomeric DNA binding	35273922	Function
36329	810229	GO:0005096	ISS	enables	GTPase activator activity	-	Function
36329	810229	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810233	GO:0005515	IPI	enables	protein binding	28618269|32198457	Function
36329	810233	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810233	GO:0005634	IDA	located_in	nucleus	28618269	Component
36329	810233	GO:0009410	IMP	acts_upstream_of_or_within	response to xenobiotic stimulus	29326268	Process
36329	810233	GO:0020036	RCA	located_in	Maurer's cleft	31631203	Component
36329	810233	GO:0032991	IDA	part_of	protein-containing complex	28618269	Component
36329	810233	GO:0043565	IDA	enables	sequence-specific DNA binding	21060817	Function
36329	810234	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810235	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810236	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810236	GO:0005634	IDA	located_in	nucleus	25121747	Component
36329	810236	GO:0010468	IDA	acts_upstream_of_or_within	regulation of gene expression	25121747	Process
36329	810236	GO:0032958	ISO	acts_upstream_of_or_within	inositol phosphate biosynthetic process	23123170	Process
36329	810237	GO:0000123	IDA	part_of	histone acetyltransferase complex	31728527|34403450	Component
36329	810237	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810237	GO:0035064	IDA	enables	methylated histone binding	31728527	Function
36329	810237	GO:0043970	IMP	acts_upstream_of_or_within	histone H3-K9 acetylation	34403450	Process
36329	810237	GO:0044409	IMP	acts_upstream_of_or_within	entry into host	34403450	Process
36329	810237	GO:0080182	IMP	acts_upstream_of_or_within	histone H3-K4 trimethylation	34403450	Process
36329	810238	GO:0005739	RCA	located_in	mitochondrion	8944766	Component
36329	810239	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810239	GO:0006511	ISS	acts_upstream_of_or_within	ubiquitin-dependent protein catabolic process	-	Process
36329	810239	GO:0008540	ISS	part_of	proteasome regulatory particle, base subcomplex	-	Component
36329	810239	GO:0070682	ISS	acts_upstream_of_or_within	proteasome regulatory particle assembly	-	Process
36329	810242	GO:0005515	IPI	enables	protein binding	33633135	Function
36329	810242	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810242	GO:0009410	IMP	acts_upstream_of_or_within	response to xenobiotic stimulus	16406111|22446744	Process
36329	810242	GO:0009986	IDA	located_in	cell surface	33633135	Component
36329	810242	GO:0020020	HDA	located_in	food vacuole	21136929	Component
36329	810242	GO:0045177	IDA	located_in	apical part of cell	33633135	Component
36329	810243	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810243	GO:0005730	IDA	located_in	nucleolus	20696894	Component
36329	810244	GO:0004017	IDA	enables	adenylate kinase activity	15478799	Function
36329	810244	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810244	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810244	GO:0005829	IDA	located_in	cytosol	22819813	Component
36329	810244	GO:0006091	TAS	acts_upstream_of_or_within	generation of precursor metabolites and energy	15478799	Process
36329	810245	GO:0004164	ISS	enables	diphthine synthase activity	-	Function
36329	810245	GO:0017183	ISS	acts_upstream_of_or_within	peptidyl-diphthamide biosynthetic process from peptidyl-histidine	-	Process
36329	810246	GO:0016020	ISM	located_in	membrane	11152613	Component
36329	810248	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810249	GO:0005634	IDA	located_in	nucleus	23181666	Component
36329	810250	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810250	GO:0008237	ISM	enables	metallopeptidase activity	-	Function
36329	810251	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810255	GO:0005739	ISM	located_in	mitochondrion	-	Component
36329	810255	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810261	GO:0001731	ISS	acts_upstream_of_or_within	formation of translation preinitiation complex	-	Process
36329	810261	GO:0003729	ISS	enables	mRNA binding	-	Function
36329	810261	GO:0003743	ISS	enables	translation initiation factor activity	-	Function
36329	810261	GO:0005515	IPI	enables	protein binding	27303372	Function
36329	810261	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810261	GO:0005634	IDA	located_in	nucleus	27303372	Component
36329	810261	GO:0005737	IDA	located_in	cytoplasm	27303372	Component
36329	810261	GO:0005850	IDA	part_of	eukaryotic translation initiation factor 2 complex	27303372	Component
36329	810261	GO:0006413	ISM	acts_upstream_of_or_within	translational initiation	-	Process
36329	810262	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810263	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810265	GO:0005829	ISO	located_in	cytosol	24244852	Component
36329	810265	GO:0045177	ISO	located_in	apical part of cell	24244852	Component
36329	810265	GO:0070258	IDA	located_in	inner membrane pellicle complex	22389454	Component
36329	810269	GO:0005634	IDA	located_in	nucleus	21245445	Component
36329	810269	GO:0005737	IDA	located_in	cytoplasm	21245445	Component
36329	810270	GO:0009986	HDA	located_in	cell surface	27128092	Component
36329	810272	GO:0003684	ISM	enables	damaged DNA binding	-	Function
36329	810272	GO:0006289	ISM	acts_upstream_of_or_within	nucleotide-excision repair	-	Process
36329	810273	GO:0003690	IDA	enables	double-stranded DNA binding	24040327	Function
36329	810273	GO:0003700	IDA	enables	DNA-binding transcription factor activity	24040327	Function
36329	810273	GO:0003723	HDA	enables	RNA binding	33906926	Function
36329	810273	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810273	GO:0005634	IDA	located_in	nucleus	24040327	Component
36329	810273	GO:0006355	IDA	acts_upstream_of_or_within	regulation of DNA-templated transcription	24040327	Process
36329	810274	GO:0004392	IDA	NOT enables	heme oxygenase (decyclizing) activity	22992734	Function
36329	810276	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810277	GO:0009986	IDA	located_in	cell surface	27383149	Component
36329	810277	GO:0020008	IDA	located_in	rhoptry	27383149	Component
36329	810277	GO:0044409	IMP	acts_upstream_of_or_within	entry into host	27383149	Process
36329	810277	GO:0045177	IDA	located_in	apical part of cell	20037583	Component
36329	810277	GO:0046812	IDA	enables	host cell surface binding	27383149	Function
36329	810278	GO:0005739	ISS	located_in	mitochondrion	-	Component
36329	810278	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810279	GO:0003723	HDA	enables	RNA binding	33906926	Function
36329	810279	GO:0004422	IDA	enables	hypoxanthine phosphoribosyltransferase activity	2205541	Function
36329	810279	GO:0006166	IDA	acts_upstream_of_or_within	purine ribonucleoside salvage	2205541	Process
36329	810279	GO:0009410	IMP	acts_upstream_of_or_within	response to xenobiotic stimulus	31536893	Process
36329	810281	GO:0003921	IDA	enables	GMP synthase activity	17868038	Function
36329	810281	GO:0006164	IDA	acts_upstream_of_or_within	purine nucleotide biosynthetic process	17868038	Process
36329	810282	GO:0005634	ISO	located_in	nucleus	25011111	Component
36329	810282	GO:0009410	IMP	acts_upstream_of_or_within	response to xenobiotic stimulus	27694982	Process
36329	810284	GO:0005515	IPI	enables	protein binding	33843972	Function
36329	810284	GO:0009410	IMP	acts_upstream_of_or_within	response to xenobiotic stimulus	27694982	Process
36329	810284	GO:0020020	IDA	located_in	food vacuole	31863491	Component
36329	810284	GO:0031410	IDA	located_in	cytoplasmic vesicle	29089429	Component
36329	810284	GO:0032266	IDA	enables	phosphatidylinositol-3-phosphate binding	29089429	Function
36329	810284	GO:0043572	IMP	acts_upstream_of_or_within	plastid fission	31863491	Process
36329	810285	GO:0071944	ISO	located_in	cell periphery	27503796	Component
36329	810286	GO:0005730	ISS	located_in	nucleolus	-	Component
36329	810286	GO:0032040	ISS	part_of	small-subunit processome	-	Component
36329	810287	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810291	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810292	GO:0005737	ISO	located_in	cytoplasm	30232409	Component
36329	810293	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810294	GO:0003743	ISS	enables	translation initiation factor activity	-	Function
36329	810294	GO:0005851	ISS	part_of	eukaryotic translation initiation factor 2B complex	-	Component
36329	810294	GO:0006446	ISS	acts_upstream_of_or_within	regulation of translational initiation	-	Process
36329	810295	GO:0005737	IDA	located_in	cytoplasm	23615908	Component
36329	810295	GO:0050577	IDA	enables	GDP-L-fucose synthase activity	23615908	Function
36329	810296	GO:0005515	IPI	enables	protein binding	30976034|33932049	Function
36329	810296	GO:0005737	IDA	located_in	cytoplasm	26292257	Component
36329	810296	GO:0009986	IDA	located_in	cell surface	30976034|34584166	Component
36329	810296	GO:0009986	ISO	located_in	cell surface	28351409	Component
36329	810296	GO:0020003	IDA	located_in	symbiont-containing vacuole	33932049	Component
36329	810296	GO:0035891	IMP	acts_upstream_of_or_within	exit from host cell	33932049|34584166	Process
36329	810296	GO:0044409	IMP	acts_upstream_of_or_within	entry into host	30976034	Process
36329	810296	GO:1903561	HDA	located_in	extracellular vesicle	28944300	Component
36329	810298	GO:0016020	ISM	located_in	membrane	11152613	Component
36329	810299	GO:0004693	IDA	enables	cyclin-dependent protein serine/threonine kinase activity	10717301	Function
36329	810299	GO:0005515	IPI	enables	protein binding	28611247	Function
36329	810299	GO:0005634	IDA	located_in	nucleus	20332005	Component
36329	810300	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810301	GO:0000123	IDA	part_of	histone acetyltransferase complex	31728527|34403450	Component
36329	810301	GO:0005515	IPI	enables	protein binding	15075257|15246536	Function
36329	810301	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810302	GO:0005739	ISO	located_in	mitochondrion	29669282	Component
36329	810302	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810304	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810305	GO:0003919	ISS	enables	FMN adenylyltransferase activity	-	Function
36329	810305	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810305	GO:0006747	ISS	acts_upstream_of_or_within	FAD biosynthetic process	-	Process
36329	810306	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810308	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810308	GO:0006508	ISM	acts_upstream_of_or_within	proteolysis	-	Process
36329	810308	GO:0008235	ISS	enables	metalloexopeptidase activity	-	Function
36329	810309	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810311	GO:0005515	IPI	enables	protein binding	26317863	Function
36329	810311	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810311	GO:0005737	IDA	located_in	cytoplasm	26317863	Component
36329	810311	GO:0005739	IDA	located_in	mitochondrion	9274871	Component
36329	810311	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810311	GO:0020020	HDA	located_in	food vacuole	21136929	Component
36329	810311	GO:0020036	RCA	located_in	Maurer's cleft	31631203	Component
36329	810312	GO:0004748	ISS	enables	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor	-	Function
36329	810312	GO:0005971	ISS	part_of	ribonucleoside-diphosphate reductase complex	-	Component
36329	810312	GO:0009263	ISS	acts_upstream_of_or_within	deoxyribonucleotide biosynthetic process	-	Process
36329	810313	GO:0002253	IDA	acts_upstream_of_or_within	activation of immune response	17785475	Process
36329	810313	GO:0003723	HDA	enables	RNA binding	33906926	Function
36329	810313	GO:0005515	IPI	enables	protein binding	24474798|24494818|26341815	Function
36329	810313	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810313	GO:0005634	IDA	located_in	nucleus	19642995	Component
36329	810313	GO:0005737	IDA	located_in	cytoplasm	17785475	Component
36329	810313	GO:0005856	IDA	located_in	cytoskeleton	19642995	Component
36329	810313	GO:0005886	IDA	located_in	plasma membrane	19642995	Component
36329	810313	GO:0009986	IDA	located_in	cell surface	17785475	Component
36329	810313	GO:0020020	IDA	located_in	food vacuole	19642995	Component
36329	810315	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810317	GO:0003729	HDA	enables	mRNA binding	27381095	Function
36329	810317	GO:0005515	IPI	enables	protein binding	28252383|33774908	Function
36329	810317	GO:0005634	HDA	located_in	nucleus	30379851	Component
36329	810317	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810317	GO:0020030	IDA	located_in	infected host cell surface knob	28981210	Component
36329	810317	GO:0030430	IDA	located_in	host cell cytoplasm	18614010	Component
36329	810318	GO:0006468	IMP	acts_upstream_of_or_within	protein phosphorylation	32284562	Process
36329	810318	GO:0020036	IDA	located_in	Maurer's cleft	31650539|32284562	Component
36329	810318	GO:0044003	IMP	acts_upstream_of_or_within	modulation by symbiont of host process	32284562	Process
36329	810319	GO:0043657	RCA	located_in	host cell	16507167	Component
36329	810320	GO:0020036	RCA	located_in	Maurer's cleft	31631203	Component
36329	810321	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810321	GO:0020036	RCA	located_in	Maurer's cleft	31631203	Component
36329	810321	GO:0043657	RCA	located_in	host cell	16507167	Component
36329	810322	GO:0020005	IDA	located_in	symbiont-containing vacuole membrane	20228203	Component
36329	810323	GO:0003887	ISS	enables	DNA-directed DNA polymerase activity	-	Function
36329	810323	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810323	GO:0006260	ISS	acts_upstream_of_or_within	DNA replication	-	Process
36329	810323	GO:0043625	ISS	part_of	delta DNA polymerase complex	-	Component
36329	810324	GO:0009986	IDA	located_in	cell surface	30342119	Component
36329	810324	GO:0020003	IDA	located_in	symbiont-containing vacuole	23937520	Component
36329	810324	GO:0020009	IDA	located_in	microneme	20037583	Component
36329	810324	GO:0020036	RCA	located_in	Maurer's cleft	31631203	Component
36329	810324	GO:0044409	IMP	acts_upstream_of_or_within	entry into host	30342119	Process
36329	810324	GO:1990225	IDA	located_in	rhoptry neck	23937520|30342119	Component
36329	810325	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810327	GO:0004614	IDA	enables	phosphoglucomutase activity	34973333	Function
36329	810327	GO:0004615	IDA	enables	phosphomannomutase activity	34973333	Function
36329	810327	GO:0006506	IMP	acts_upstream_of_or_within	GPI anchor biosynthetic process	34973333	Process
36329	810327	GO:0009298	IDA	acts_upstream_of_or_within	GDP-mannose biosynthetic process	34973333	Process
36329	810327	GO:0035891	IMP	acts_upstream_of_or_within	exit from host cell	34973333	Process
36329	810327	GO:0044409	IMP	acts_upstream_of_or_within	entry into host	34973333	Process
36329	810328	GO:0005515	IPI	enables	protein binding	28893907	Function
36329	810328	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810328	GO:0009986	ISO	located_in	cell surface	28759593	Component
36329	810328	GO:0070258	IDA	located_in	inner membrane pellicle complex	28893907	Component
36329	810329	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810331	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810332	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810332	GO:0005838	ISS	part_of	proteasome regulatory particle	-	Component
36329	810332	GO:0006511	ISS	acts_upstream_of_or_within	ubiquitin-dependent protein catabolic process	-	Process
36329	810333	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810341	GO:0003729	HDA	enables	mRNA binding	27381095	Function
36329	810341	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810345	GO:0005634	HDA	located_in	nucleus	23181666|30379851	Component
36329	810347	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810348	GO:0000123	IDA	part_of	histone acetyltransferase complex	34403450	Component
36329	810348	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810348	GO:0005634	IDA	located_in	nucleus	34403450	Component
36329	810349	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810351	GO:0005515	IPI	enables	protein binding	22982544	Function
36329	810351	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810351	GO:0005829	IDA	located_in	cytosol	22819059	Component
36329	810351	GO:0009410	IMP	acts_upstream_of_or_within	response to xenobiotic stimulus	24786226	Process
36329	810351	GO:0016020	IDA	located_in	membrane	25426852	Component
36329	810351	GO:0020011	IDA	located_in	apicoplast	22900071|24275162	Component
36329	810351	GO:0031410	IDA	located_in	cytoplasmic vesicle	25426852	Component
36329	810353	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810355	GO:0005730	ISS	located_in	nucleolus	-	Component
36329	810355	GO:0009383	ISS	enables	rRNA (cytosine-C5-)-methyltransferase activity	-	Function
36329	810356	GO:0005739	RCA	located_in	mitochondrion	34494883	Component
36329	810357	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810358	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810359	GO:0004742	IDA	enables	dihydrolipoyllysine-residue acetyltransferase activity	15612915	Function
36329	810359	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810359	GO:0020011	IDA	located_in	apicoplast	15612915	Component
36329	810360	GO:0003924	IDA	enables	GTPase activity	8954160	Function
36329	810360	GO:0005515	IPI	enables	protein binding	33604307	Function
36329	810360	GO:0005525	IDA	enables	GTP binding	8954160	Function
36329	810360	GO:0005783	IDA	located_in	endoplasmic reticulum	33604307	Component
36329	810360	GO:0005794	IDA	located_in	Golgi apparatus	25909331	Component
36329	810360	GO:0005801	IDA	located_in	cis-Golgi network	33604307	Component
36329	810360	GO:0015031	IMP	acts_upstream_of_or_within	protein transport	33604307	Process
36329	810360	GO:0020020	RCA	located_in	food vacuole	21136929	Component
36329	810360	GO:0036396	HDA	part_of	RNA N6-methyladenosine methyltransferase complex	31384004	Component
36329	810360	GO:0090215	IDA	acts_upstream_of_or_within	regulation of 1-phosphatidylinositol-4-phosphate 5-kinase activity	19171150	Process
36329	810360	GO:1990583	IDA	enables	phospholipase D activator activity	19171150	Function
36329	810361	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810362	GO:0016020	IEA	located_in	membrane	12368868	Component
36329	810364	GO:0020011	HDA	located_in	apicoplast	30212465	Component
36329	810364	GO:0020011	ISO	located_in	apicoplast	28902970	Component
36329	810366	GO:0020011	ISO	located_in	apicoplast	22144892	Component
36329	810366	GO:0030490	ISS	acts_upstream_of_or_within	maturation of SSU-rRNA	-	Process
36329	810367	GO:0004139	ISS	enables	deoxyribose-phosphate aldolase activity	-	Function
36329	810367	GO:0005622	ISO	located_in	intracellular anatomical structure	27503796	Component
36329	810367	GO:0006098	ISS	acts_upstream_of_or_within	pentose-phosphate shunt	-	Process
36329	810369	GO:0000775	IDA	located_in	chromosome, centromeric region	33688001	Component
36329	810369	GO:0005634	HDA	located_in	nucleus	23181666	Component
36329	810369	GO:0020005	IDA	located_in	symbiont-containing vacuole membrane	24855263	Component
36329	810369	GO:0020014	IMP	acts_upstream_of_or_within	schizogony	33688001	Process
